Annotation Cluster 1	Enrichment Score: 8.915412214322282
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
PIR_SUPERFAMILY	PIRSF038651:G protein-coupled olfactory receptor, class I	26	7.084468664850137	7.85854701651712E-30	79473, 119678, 119679, 390081, 23538, 390077, 390078, 283111, 390075, 79339, 390054, 390072, 390059, 390058, 390079, 282763, 340980, 390061, 390063, 390064, 390083, 390066, 79345, 390067, 338751, 387748	148	50	7098	24.938918918918922	9.273085479490202E-28	9.273085479490202E-28	8.993622150899147E-27
GOTERM_MF_FAT	GO:0004984~olfactory receptor activity	40	10.899182561307901	7.387057394496378E-20	390265, 283160, 79473, 390264, 119678, 119679, 219865, 390081, 26595, 23538, 390077, 390078, 283111, 390075, 79339, 390072, 283159, 390054, 390059, 219858, 390058, 390079, 390271, 390275, 282763, 219870, 340980, 390061, 390063, 390064, 390083, 390084, 390066, 390067, 79345, 338751, 219869, 26493, 26494, 283162, 387748	231	352	12441	6.12012987012987	2.5485348011012504E-17	2.5485348011012504E-17	1.0081509311957566E-16
INTERPRO	IPR000725:Olfactory receptor	39	10.626702997275205	3.0021523375438516E-19	390265, 283160, 79473, 390264, 119678, 119679, 219865, 390081, 26595, 23538, 390077, 390078, 283111, 390075, 79339, 390072, 283159, 390054, 390059, 219858, 390058, 390079, 390275, 282763, 219870, 340980, 390061, 390063, 390064, 390083, 390084, 390066, 390067, 79345, 338751, 219869, 26493, 26494, 283162, 387748	288	350	15967	6.177708333333333	1.414013750983154E-16	1.414013750983154E-16	4.2868931064713287E-16
SP_PIR_KEYWORDS	olfaction	39	10.626702997275205	4.550815220593752E-19	390265, 283160, 79473, 390264, 119678, 119679, 219865, 390081, 26595, 23538, 390077, 390078, 283111, 390075, 79339, 390072, 283159, 390054, 390059, 219858, 390058, 390079, 390271, 390275, 282763, 219870, 340980, 390061, 390063, 390064, 390083, 390066, 390067, 79345, 338751, 219869, 26493, 26494, 283162, 387748	326	357	18353	6.150152085374026	1.374346196619313E-16	1.374346196619313E-16	6.08742564291791E-16
GOTERM_BP_FAT	GO:0007608~sensory perception of smell	39	10.626702997275205	1.185637565076289E-17	390265, 283160, 79473, 390264, 119678, 119679, 219865, 390081, 26595, 23538, 390077, 390078, 283111, 390075, 79339, 390072, 283159, 390054, 390059, 219858, 390058, 390079, 390271, 390275, 282763, 219870, 340980, 390061, 390063, 390064, 390083, 390066, 390067, 79345, 338751, 219869, 26493, 26494, 283162, 387748	247	374	12981	5.480298339431466	1.5721554112911592E-14	1.5721554112911592E-14	1.940592382636241E-14
SP_PIR_KEYWORDS	sensory transduction	44	11.989100817438691	8.72227059682348E-17	390265, 283160, 79473, 390264, 5950, 119678, 5146, 119679, 219865, 762, 390081, 26595, 54714, 23538, 390077, 390078, 390075, 283111, 79339, 390072, 283159, 390054, 390059, 84059, 219858, 390058, 390079, 390271, 390275, 282763, 219870, 340980, 390061, 390063, 390064, 390083, 390066, 79345, 390067, 338751, 219869, 26493, 26494, 283162, 387748	326	538	18353	4.6042602686614815	3.352873534367973E-14	1.6764367671839864E-14	1.4432899320127035E-13
GOTERM_BP_FAT	GO:0007606~sensory perception of chemical stimulus	39	10.626702997275205	6.321064443620821E-16	390265, 283160, 79473, 390264, 119678, 119679, 219865, 390081, 26595, 23538, 390077, 390078, 283111, 390075, 79339, 390072, 283159, 390054, 390059, 219858, 390058, 390079, 390271, 390275, 282763, 219870, 340980, 390061, 390063, 390064, 390083, 390066, 390067, 79345, 338751, 219869, 26493, 26494, 283162, 387748	247	419	12981	4.891722145459113	8.832934383917745E-13	4.4164671919588727E-13	1.0880185641326534E-12
KEGG_PATHWAY	hsa04740:Olfactory transduction	38	10.354223433242508	6.874015473252191E-16	390265, 283160, 79473, 390264, 119678, 119679, 219865, 390081, 23538, 390077, 390078, 283111, 390075, 79339, 390072, 283159, 390054, 390059, 219858, 390058, 390079, 390275, 282763, 219870, 340980, 390061, 390063, 390064, 390083, 390066, 390084, 390067, 79345, 338751, 219869, 26493, 26494, 283162, 387748	113	363	4949	4.584753406957751	6.061817714453355E-14	6.061817714453355E-14	7.216449660063518E-13
INTERPRO	IPR017452:GPCR, rhodopsin-like superfamily	43	11.716621253405995	2.964155280556262E-13	390265, 283160, 79473, 390264, 119678, 119679, 219865, 338557, 390081, 124274, 26595, 23538, 390077, 390078, 390075, 283111, 79339, 390072, 283159, 390054, 390059, 219858, 390058, 390079, 390271, 390275, 282763, 10888, 219870, 340980, 390061, 390063, 390064, 390083, 390084, 390066, 390067, 79345, 338751, 219869, 26493, 26494, 283162, 387748	288	640	15967	3.724940321180555	1.396183169077858E-10	6.98091584538929E-11	4.232836303685872E-10
INTERPRO	IPR000276:7TM GPCR, rhodopsin-like	43	11.716621253405995	3.1018055182742E-13	390265, 283160, 79473, 390264, 119678, 119679, 219865, 338557, 390081, 124274, 26595, 23538, 390077, 390078, 390075, 283111, 79339, 390072, 283159, 390054, 390059, 219858, 390058, 390079, 390271, 390275, 282763, 10888, 219870, 340980, 390061, 390063, 390064, 390083, 390084, 390066, 390067, 79345, 338751, 219869, 26493, 26494, 283162, 387748	288	641	15967	3.71912918183394	1.4610246346080658E-10	4.870082115360219E-11	4.429456801346987E-10
